blockID,sourceImage,volatility,blockFileName
1,radioactive3.png,0,MainVaJmpSession1_block1.csv
2,radioactive2.png,1,MainVaJmpSession1_block3.csv
3,radioactive3.png,0,MainVaJmpSession1_block2.csv
4,radioactive2.png,1,MainVaJmpSession1_block4.csv
